Shape,Base SF,GC Slightly Thick,GC Thick,GC Very Thick,GC Extremely Thick,WCF Description,WCF Percent Range
Round Brilliant,0.0061,1.02,1.03,1.06,1.09,Large Culet,0.015 to 0.02
Princess Cut,0.0083,1.035,1.06,1.095,1.11,No shoulder corrections,0.0
Cushion Brilliant,0.00815,1.035,1.06,1.095,1.11,Varying corner curves,0.0
Trillion Brilliant,0.0057,1.035,1.06,1.095,1.11,Pavilion Bulge,0.01 to 0.18
Marquise Brilliant,0.0058,1.035,1.06,1.095,1.11,Wide/Fat Wings,0.01 to 0.10
Pear Brilliant,0.006,1.035,1.06,1.095,1.11,High/Squarish Shoulders,0.01 to 0.05
Radiant Brilliant,0.0084,1.035,1.06,1.095,1.11,Wide Corners,-0.05 to -0.01
